GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shortlink-service,util,UrlValidator,10,34,1,7,3,10,2,4,1,1
shortlink-service,util,CodeGenerator,3,29,0,2,1,5,1,3,1,2
shortlink-service,util,Config,9,97,0,0,2,25,0,8,0,8
shortlink-service,service,CleanupService,68,0,6,0,17,0,7,0,4,0
shortlink-service,service,ShortenerService,142,344,17,23,38,90,19,19,4,14
shortlink-service,model,Link,0,27,0,0,0,1,0,1,0,1
shortlink-service,storage,FileLinkRepository,30,215,3,11,5,47,4,11,1,7
shortlink-service,storage,FileLinkRepository.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
